Rank,Country,Elections1,Seats1,Women1,Women Percentage1,Elections2,Seats2,Women2,Women Percentage2
1,Rwanda,7.2024,80,51,63.8,9.2024,26,13,50
4,Bolivia (Plurinational State of),8.2025,130,66,50.8,8.2025,36,21,58.3
5,Mexico,6.2024,500,251,50.2,6.2024,128,64,50
9,Australia,5.2025,150,69,46,5.2025,76,43,56.6
16,South Africa,5.2024,398,178,44.7,6.2024,54,24,44.4
18,Spain,7.2023,350,155,44.3,7.2023,266,113,42.5
20,Netherlands,10.2025,150,64,42.7,5.2023,75,30,40
21,Namibia,11.2024,104,44,42.3,12.202,42,6,14.3
22,Ethiopia,6.2021,482,202,41.9,10.2021,145,43,29.7
24,Belgium,6.2024,150,62,41.3,7.2024,59,28,47.5
27,United Kingdom,7.2024,650,263,40.5,Not scheduled,832,258,31
29,Burundi,6.2025,111,44,39.6,7.2025,13,6,46.2
33,Switzerland,10.2023,200,78,39,10.2023,45,15,33.3
36,Uzbekistan,10.2024,150,57,38,11.2024,65,16,24.6
38,Dominican Republic,5.2024,190,71,37.4,5.2024,32,4,12.5
41,France,6.2024,575,208,36.2,9.2023,348,129,37.1
43,Slovenia,4.2022,90,32,35.6,11.2022,40,7,17.5
44,Austria,9.2024,183,65,35.5,Not scheduled,60,24,40
46,Chile,11.2021,154,54,35.1,11.2021,50,13,26
51,Belarus,2.2024,109,37,33.9,4.2024,59,18,30.5
52,Cameroon,2.202,180,61,33.9,3.2023,100,33,33
53,Chad,12.2024,188,63,33.5,2.2025,69,25,36.2
54,Czechia,10.2025,200,67,33.5,9.2024,80,17,21.3
56,Italy,9.2022,400,131,32.8,9.2022,204,74,36.3
57,Germany,2.2025,630,204,32.4,Not scheduled,69,24,34.8
58,South Sudan,5.2021,550,178,32.4,8.2021,84,27,32.1
64,Grenada,6.2022,16,5,31.3,8.2022,13,4,30.8
65,Poland,10.2023,460,144,31.3,10.2023,100,19,19
67,Uruguay,10.2024,99,31,31.3,10.2024,31,8,25.8
68,Equatorial Guinea,11.2022,100,31,31,11.2022,80,20,25
70,Canada,4.2025,343,104,30.3,Not scheduled,104,57,54.8
71,Jamaica,9.2025,63,19,30.2,9.2025,21,7,33.3
73,Zimbabwe,8.2023,279,84,30.1,8.2023,79,35,44.3
76,Colombia,3.2022,187,55,29.4,3.2022,105,33,31.4
79,United States of America,11.2024,432,125,28.9,11.2024,100,26,26
81,Tajikistan,3.2025,63,18,28.6,3.2025,33,10,30.3
83,Philippines,5.2025,314,89,28.3,5.2025,24,5,20.8
84,Egypt,10.202,592,164,27.7,8.2025,300,32,10.7
87,Barbados,1.2022,30,8,26.7,2.2022,21,7,33.3
94,Ireland,11.2024,174,44,25.3,1.2025,60,27,45
96,Lesotho,10.2022,120,30,25,11.2022,33,7,21.2
97,Palau,11.2024,16,4,25,11.2024,15,2,13.3
98,Morocco,9.2021,395,96,24.3,10.2021,120,14,11.7
100,Paraguay,4.2023,80,19,23.8,4.2023,45,10,22.2
101,Trinidad and Tobago,4.2025,42,10,23.8,5.2025,31,8,25.8
102,Kenya,8.2022,342,80,23.4,8.2022,67,21,31.3
106,Romania,12.2024,331,74,22.4,12.2024,134,28,20.9
112,Eswatini,9.2023,74,16,21.6,11.2023,30,14,46.7
113,Gabon,9.2025,139,30,21.6,10.2023,69,14,20.3
119,Bahrain,11.2022,40,8,20,11.2022,40,10,25
123,Jordan,9.2024,138,27,19.6,10.2024,69,10,14.5
125,Thailand,5.2023,495,97,19.6,6.2024,200,45,22.5
126,Bosnia and Herzegovina,10.2022,42,8,19.1,2.2023,15,1,6.7
127,Somalia,11.2021,274,52,19,7.2021,54,14,25.9
128,Kazakhstan,3.2023,98,18,18.4,1.2023,50,10,20
131,Brazil,10.2022,513,93,18.1,10.2022,81,16,19.8
132,Bahamas,9.2021,39,7,18,10.2021,15,5,33.3
135,Pakistan,2.2024,311,53,17,4.2024,85,16,18.8
138,Russian Federation,9.2021,450,74,16.4,Not scheduled,168,31,18.5
139,Tunisia,12.2022,152,24,15.8,4.2024,77,10,13
140,Japan,10.2024,465,73,15.7,7.2025,248,73,29.4
142,Togo,4.2024,113,17,15,2.2025,61,15,24.6
144,Congo,7.2022,151,22,14.6,8.2023,72,23,31.9
148,Madagascar,5.2024,163,23,14.1,12.202,18,2,11.1
149,India,4.2024,544,75,13.8,1.2024,234,39,16.7
150,Cambodia,7.2023,125,17,13.6,2.2024,62,12,19.4
151,Malaysia,11.2022,222,30,13.5,Not scheduled,56,9,16.1
152,Ivory Coast d'Ivoire,3.2021,254,34,13.4,9.2023,98,24,24.5
153,Democratic Republic of the Congo,12.2023,500,64,12.8,4.2024,101,16,15.8
154,Belize,3.2025,32,4,12.5,5.2025,14,5,35.7
159,Liberia,10.2023,73,8,11,10.2023,30,3,10
161,Saint Lucia,7.2021,19,2,10.5,8.2021,11,6,54.6
169,Algeria,6.2021,407,32,7.9,3.2025,163,4,2.5
173,Antigua and Barbuda,1.2023,18,1,5.6,2.2023,17,7,41.2
175,Bhutan,1.2024,47,2,4.3,4.2023,25,3,12
176,Nigeria,2.2023,356,15,4.2,2.2023,107,4,3.7
183,Oman,10.2023,90,0,0,11.2023,86,18,20.9
183,Yemen,4.2003,245,0,0,4.2001,90,1,1.1
183,Argentina,10.2025,257,0,0,10.2025,72,0,0
183,Nepal,11.2022,1,0,0,1.2024,59,22,37.3
