"Title","Monthly ranking of women in national parliaments","","","","","","","",""
"Reference period","November 2025","","","","","","","",""
"Structure","-","","","","","","","",""
"Region","Any","","","","","","","",""
"Publisher","Inter-Parliamentary Union","","","","","","","",""
"Copyright and attribution","Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","","","","","","","",""
"Licence","This work is licensed under Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International 

https://creativecommons.org/licenses/by-nc-sa/4.0/ ","","","","","","","",""
"Website","https://data.ipu.org/women-ranking","","","","","","","",""
"URL","https://data.ipu.org/export-report/women-ranking/csv?date_month=11&date_year=2025","","","","","","","",""
"API URL","http://api.data.ipu.org/v1/reports/women-ranking?year=2025&month=11","","","","","","","",""
"Data dictionary","https://data.ipu.org/data-dictionary/","","","","","","","",""
"Date accessed","2025-12-15 17:12:06","","","","","","","",""
"Dataset notes","**Notes** :

*   The data in this table have been compiled by the Inter-Parliamentary Union on the basis of information provided by national parliaments.
*   Parliaments are classified according to the percentage of seats held by women in lower or single parliamentary chambers.
*   The figures correspond to the number of seats filled in parliament at the given time. The ranking may evolve over time based on updates received from national parliaments.
*   When countries appear at the bottom of the table with no ranking number, it means that data on the number of women in the single or lower parliamentary chambers are temporarily unavailable. This is usually the case when elections have taken place recently and the official results have not yet been published. Once the data on the number of women become available, the ranking is updated accordingly.
*   South Africa: The figures on the distribution of seats in the Upper House do not include the 36 special rotating delegates appointed on an ad hoc basis; the Upper House percentage is therefore calculated on the basis of the 54 permanent seats.","","","","","","","",""
"
"
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats","Women","% W","Elections","Seats","Women","% W"
"1","Rwanda","07.2024","80","51","63.8","09.2024","26","13","50.0"
"2","Cuba","03.2023","470","262","55.7","-","-","-","-"
"3","Nicaragua","11.2021","91","50","55.0","-","-","-","-"
"4","Bolivia (Plurinational State of)","08.2025","130","66","50.8","08.2025","36","21","58.3"
"5","Mexico","06.2024","500","251","50.2","06.2024","128","64","50.0"
"6","Andorra","04.2023","28","14","50.0","-","-","-","-"
"“","United Arab Emirates","10.2023","40","20","50.0","-","-","-","-"
"8","Costa Rica","02.2022","57","28","49.1","-","-","-","-"
"9","Australia","05.2025","150","69","46.0","05.2025","76","43","56.6"
"“","Iceland","11.2024","63","29","46.0","-","-","-","-"
"11","Monaco","02.2023","24","11","45.8","-","-","-","-"
"12","Finland","04.2023","200","91","45.5","-","-","-","-"
"“","New Zealand","10.2023","123","56","45.5","-","-","-","-"
"14","Ecuador","02.2025","151","68","45.0","-","-","-","-"
"“","Sweden","09.2022","349","157","45.0","-","-","-","-"
"16","South Africa","05.2024","398","178","44.7","06.2024","54","24","44.4"
"17","Cabo Verde","04.2021","72","32","44.4","-","-","-","-"
"18","Spain","07.2023","350","155","44.3","07.2023","266","113","42.5"
"19","Denmark","11.2022","179","78","43.6","-","-","-","-"
"20","Netherlands","10.2025","150","64","42.7","05.2023","75","30","40.0"
"21","Namibia","11.2024","104","44","42.3","12.2020","42","6","14.3"
"22","Ethiopia","06.2021","482","202","41.9","10.2021","145","43","29.7"
"23","Peru","04.2021","130","54","41.5","-","-","-","-"
"24","Belgium","06.2024","150","62","41.3","07.2024","59","28","47.5"
"25","Senegal","11.2024","165","68","41.2","-","-","-","-"
"26","Dominica","12.2022","32","13","40.6","-","-","-","-"
"27","United Kingdom","07.2024","650","263","40.5","-","832","258","31.0"
"28","Norway","09.2025","169","68","40.2","-","-","-","-"
"29","Burundi","06.2025","111","44","39.6","07.2025","13","6","46.2"
"30","United Republic of Tanzania","10.2025","387","153","39.5","-","-","-","-"
"31","North Macedonia","05.2024","120","47","39.2","-","-","-","-"
"32","Angola","08.2022","220","86","39.1","-","-","-","-"
"33","Switzerland","10.2023","200","78","39.0","10.2023","45","15","33.3"
"34","Armenia","06.2021","107","41","38.3","-","-","-","-"
"“","Mozambique","10.2024","248","95","38.3","-","-","-","-"
"36","Uzbekistan","10.2024","150","57","38.0","11.2024","65","16","24.6"
"37","Republic of Moldova","09.2025","101","38","37.6","-","-","-","-"
"38","Dominican Republic","05.2024","190","71","37.4","05.2024","32","4","12.5"
"39","Serbia","12.2023","250","93","37.2","-","-","-","-"
"40","Guyana","09.2025","65","24","36.9","-","-","-","-"
"41","France","06.2024","575","208","36.2","09.2023","348","129","37.1"
"42","Portugal","05.2025","230","82","35.7","-","-","-","-"
"43","Slovenia","04.2022","90","32","35.6","11.2022","40","7","17.5"
"44","Austria","09.2024","183","65","35.5","-","60","24","40.0"
"45","Timor-Leste","05.2023","65","23","35.4","-","-","-","-"
"46","Chile","11.2021","154","54","35.1","11.2021","50","13","26.0"
"47","Albania","05.2025","140","49","35.0","-","-","-","-"
"“","Luxembourg","10.2023","60","21","35.0","-","-","-","-"
"“","San Marino","06.2024","60","21","35.0","-","-","-","-"
"50","Uganda","01.2021","555","189","34.1","-","-","-","-"
"51","Belarus","02.2024","109","37","33.9","04.2024","59","18","30.5"
"“","Cameroon","02.2020","180","61","33.9","03.2023","100","33","33.0"
"53","Chad","12.2024","188","63","33.5","02.2025","69","25","36.2"
"“","Czechia","10.2025","200","67","33.5","09.2024","80","17","21.3"
"55","Croatia","04.2024","151","50","33.1","-","-","-","-"
"56","Italy","09.2022","400","131","32.8","09.2022","204","74","36.3"
"57","Germany","02.2025","630","204","32.4","-","69","24","34.8"
"“","South Sudan","05.2021","550","178","32.4","08.2021","84","27","32.1"
"59","Singapore","05.2025","99","32","32.3","-","-","-","-"
"60","Liechtenstein","02.2025","25","8","32.0","-","-","-","-"
"61","El Salvador","02.2024","60","19","31.7","-","-","-","-"
"62","Suriname","05.2025","51","16","31.4","-","-","-","-"
"“","Viet Nam","05.2021","478","150","31.4","-","-","-","-"
"64","Grenada","06.2022","16","5","31.3","08.2022","13","4","30.8"
"“","Poland","10.2023","460","144","31.3","10.2023","100","19","19.0"
"“","Saint Kitts and Nevis","08.2022","16","5","31.3","-","-","-","-"
"“","Uruguay","10.2024","99","31","31.3","10.2024","31","8","25.8"
"68","Equatorial Guinea","11.2022","100","31","31.0","11.2022","80","20","25.0"
"“","Latvia","10.2022","100","31","31.0","-","-","-","-"
"70","Canada","04.2025","343","104","30.3","-","104","57","54.8"
"71","Jamaica","09.2025","63","19","30.2","09.2025","21","7","33.3"
"72","Mali","12.2020","133","40","30.1","-","-","-","-"
"“","Zimbabwe","08.2023","279","84","30.1","08.2023","79","35","44.3"
"74","Guinea","01.2022","81","24","29.6","-","-","-","-"
"75","Sierra Leone","06.2023","149","44","29.5","-","-","-","-"
"76","Colombia","03.2022","187","55","29.4","03.2022","105","33","31.4"
"77","Malta","03.2022","79","23","29.1","-","-","-","-"
"78","Iraq","10.2021","329","95","28.9","-","-","-","-"
"“","United States of America","11.2024","432","125","28.9","11.2024","100","26","26.0"
"80","Estonia","03.2023","101","29","28.7","-","-","-","-"
"81","Tajikistan","03.2025","63","18","28.6","03.2025","33","10","30.3"
"82","Lithuania","10.2024","141","40","28.4","-","-","-","-"
"83","Philippines","05.2025","314","89","28.3","05.2025","24","5","20.8"
"84","Egypt","10.2020","592","164","27.7","08.2025","300","32","10.7"
"85","Honduras","11.2021","128","35","27.3","-","-","-","-"
"86","Montenegro","06.2023","81","22","27.2","-","-","-","-"
"87","Barbados","01.2022","30","8","26.7","02.2022","21","7","33.3"
"88","Benin","01.2023","109","29","26.6","-","-","-","-"
"89","China","03.2023","2977","790","26.5","-","-","-","-"
"“","Seychelles","09.2025","34","9","26.5","-","-","-","-"
"91","Djibouti","02.2023","65","17","26.2","-","-","-","-"
"92","Turkmenistan","03.2023","125","32","25.6","-","-","-","-"
"93","Mongolia","06.2024","126","32","25.4","-","-","-","-"
"94","Ireland","11.2024","174","44","25.3","01.2025","60","27","45.0"
"95","Bulgaria","10.2024","240","60","25.0","-","-","-","-"
"“","Lesotho","10.2022","120","30","25.0","11.2022","33","7","21.2"
"“","Palau","11.2024","16","4","25.0","11.2024","15","2","13.3"
"98","Morocco","09.2021","395","96","24.3","10.2021","120","14","11.7"
"99","Israel","11.2022","120","29","24.2","-","-","-","-"
"100","Paraguay","04.2023","80","19","23.8","04.2023","45","10","22.2"
"“","Trinidad and Tobago","04.2025","42","10","23.8","05.2025","31","8","25.8"
"102","Kenya","08.2022","342","80","23.4","08.2022","67","21","31.3"
"103","Mauritania","05.2023","176","41","23.3","-","-","-","-"
"“","Slovakia","09.2023","150","35","23.3","-","-","-","-"
"105","Greece","06.2023","297","68","22.9","-","-","-","-"
"106","Romania","12.2024","331","74","22.4","12.2024","134","28","20.9"
"107","Kyrgyzstan","11.2021","90","20","22.2","-","-","-","-"
"108","Lao People's Democratic Republic","02.2021","164","36","22.0","-","-","-","-"
"109","Indonesia","02.2024","580","127","21.9","-","-","-","-"
"110","Panama","05.2024","69","15","21.7","-","-","-","-"
"“","Saint Vincent and the Grenadines","11.2020","23","5","21.7","-","-","-","-"
"112","Eswatini","09.2023","74","16","21.6","11.2023","30","14","46.7"
"“","Gabon","09.2025","139","30","21.6","10.2023","69","14","20.3"
"114","Malawi","09.2025","224","48","21.4","-","-","-","-"
"“","Micronesia (Federated States of)","03.2025","14","3","21.4","-","-","-","-"
"116","Ukraine","07.2019","401","85","21.2","-","-","-","-"
"117","Azerbaijan","09.2024","125","26","20.8","-","-","-","-"
"118","Republic of Korea","04.2024","300","61","20.3","-","-","-","-"
"119","Bahrain","11.2022","40","8","20.0","11.2022","40","10","25.0"
"“","Guatemala","06.2023","160","32","20.0","-","-","-","-"
"121","Saudi Arabia","09.2024","151","30","19.9","-","-","-","-"
"“","Türkiye","05.2023","593","118","19.9","-","-","-","-"
"123","Jordan","09.2024","138","27","19.6","10.2024","69","10","14.5"
"“","Niger","05.2025","194","38","19.6","-","-","-","-"
"“","Thailand","05.2023","495","97","19.6","06.2024","200","45","22.5"
"126","Bosnia and Herzegovina","10.2022","42","8","19.1","02.2023","15","1","6.7"
"127","Somalia","11.2021","274","52","19.0","07.2021","54","14","25.9"
"128","Kazakhstan","03.2023","98","18","18.4","01.2023","50","10","20.0"
"129","Burkina Faso","11.2022","71","13","18.3","-","-","-","-"
"130","Comoros","01.2025","33","6","18.2","-","-","-","-"
"131","Brazil","10.2022","513","93","18.1","10.2022","81","16","19.8"
"132","Bahamas","09.2021","39","7","18.0","10.2021","15","5","33.3"
"133","Mauritius","11.2024","67","12","17.9","-","-","-","-"
"134","Democratic People's Republic of Korea","03.2019","687","121","17.6","-","-","-","-"
"135","Pakistan","02.2024","311","53","17.0","04.2024","85","16","18.8"
"136","Georgia","10.2024","101","17","16.8","-","-","-","-"
"137","Libya","06.2014","170","28","16.5","-","-","-","-"
"138","Russian Federation","09.2021","450","74","16.4","-","168","31","18.5"
"139","Tunisia","12.2022","152","24","15.8","04.2024","77","10","13.0"
"140","Japan","10.2024","465","73","15.7","07.2025","248","73","29.4"
"141","Hungary","04.2022","199","31","15.6","-","-","-","-"
"142","Togo","04.2024","113","17","15.0","02.2025","61","15","24.6"
"“","Zambia","08.2021","167","25","15.0","-","-","-","-"
"144","Congo","07.2022","151","22","14.6","08.2023","72","23","31.9"
"“","Ghana","12.2024","275","40","14.6","-","-","-","-"
"“","Sao Tome and Principe","09.2022","55","8","14.6","-","-","-","-"
"147","Cyprus","05.2021","56","8","14.3","-","-","-","-"
